01 Mar 2021 18:17:04 MSK |             ::1 |     114.793µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:10 MSK |   192.168.0.107 |     197.416µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:11 MSK |   192.168.0.107 |     175.763µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:49 MSK |             ::1 |     122.555µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:50 MSK |             ::1 |      54.485µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:50 MSK |             ::1 |      83.793µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:50 MSK |             ::1 |     120.148µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:50 MSK |             ::1 |     111.359µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:50 MSK |             ::1 |      72.137µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:50 MSK |             ::1 |      89.044µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:51 MSK |             ::1 |      55.943µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:51 MSK |             ::1 |      85.296µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:51 MSK |             ::1 |     145.467µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:51 MSK |             ::1 |      87.681µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:51 MSK |             ::1 |       76.74µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:52 MSK |             ::1 |     128.933µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:52 MSK |             ::1 |      101.35µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:52 MSK |             ::1 |      72.755µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:52 MSK |             ::1 |      91.024µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:52 MSK |             ::1 |      81.515µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:53 MSK |             ::1 |      65.569µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:53 MSK |             ::1 |     114.026µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:53 MSK |             ::1 |      78.875µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:53 MSK |             ::1 |      91.967µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:53 MSK |             ::1 |      76.066µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:54 MSK |             ::1 |      71.284µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:54 MSK |             ::1 |      81.134µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:54 MSK |             ::1 |       88.11µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:54 MSK |             ::1 |      99.797µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:55 MSK |             ::1 |      77.109µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:55 MSK |             ::1 |      141.19µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:55 MSK |             ::1 |     107.593µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:55 MSK |             ::1 |      92.528µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:56 MSK |             ::1 |     100.861µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:56 MSK |             ::1 |      69.002µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:56 MSK |             ::1 |     138.277µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:56 MSK |             ::1 |          56µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:56 MSK |             ::1 |      94.735µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:57 MSK |             ::1 |     105.248µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:57 MSK |             ::1 |      81.591µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:57 MSK |             ::1 |      99.084µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:57 MSK |             ::1 |      79.761µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:57 MSK |             ::1 |     108.972µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:57 MSK |             ::1 |      68.189µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:58 MSK |             ::1 |     111.739µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:58 MSK |             ::1 |      79.607µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:58 MSK |             ::1 |     110.203µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:58 MSK |             ::1 |      86.813µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:58 MSK |             ::1 |      73.641µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:58 MSK |             ::1 |      74.914µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:59 MSK |             ::1 |      76.658µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:59 MSK |             ::1 |     160.539µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:59 MSK |             ::1 |      131.89µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:59 MSK |             ::1 |      63.712µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:00 MSK |             ::1 |     141.568µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:00 MSK |             ::1 |      91.676µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:00 MSK |             ::1 |      83.002µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:00 MSK |             ::1 |      76.984µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:00 MSK |             ::1 |     112.889µs | 200 | [GET]     | /metrics 
